study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB14142	SAMEA4003655	ERS1174765	ERX1492305	ERR1421635	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421635/ERR1421635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421635/ERR1421635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421635/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421635/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421635	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421635		
PRJEB14142	SAMEA4003656	ERS1174766	ERX1492306	ERR1421636	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421636/ERR1421636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1421636/ERR1421636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421636/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421636/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421636	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421636		
PRJEB14142	SAMEA4003657	ERS1174767	ERX1492307	ERR1421637	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421637/ERR1421637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1421637/ERR1421637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421637/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421637/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421637	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421637		
PRJEB14142	SAMEA4003658	ERS1174768	ERX1492308	ERR1421638	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421638/ERR1421638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1421638/ERR1421638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421638/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421638/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421638	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421638		
PRJEB14142	SAMEA4003659	ERS1174769	ERX1492309	ERR1421639	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421639/ERR1421639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1421639/ERR1421639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421639/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421639/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421639	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421639		
PRJEB14142	SAMEA4003660	ERS1174770	ERX1492310	ERR1421640	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421640/ERR1421640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1421640/ERR1421640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421640/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421640/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421640	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421640		
PRJEB14142	SAMEA4003661	ERS1174771	ERX1492311	ERR1421641	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1421641/ERR1421641.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1421641/ERR1421641.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421641/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421641/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421641	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421641		
PRJEB14142	SAMEA4003662	ERS1174772	ERX1492312	ERR1421642	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421642/ERR1421642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1421642/ERR1421642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421642/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421642/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421642	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421642		
PRJEB14142	SAMEA4003663	ERS1174773	ERX1492313	ERR1421643	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421643/ERR1421643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1421643/ERR1421643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421643/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421643/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421643	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421643		
PRJEB14142	SAMEA4003665	ERS1174775	ERX1492315	ERR1421645	3880	Medicago truncatula	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421645/ERR1421645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1421645/ERR1421645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421645/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421645/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421645	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421645		
