secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	scientific_name	instrument_platform	library_layout	library_strategy	library_selection	experiment_title	study_alias	experiment_alias	run_alias	submitted_bytes	submitted_galaxy	sra_ftp	cram_index_ftp	cram_index_aspera	broker_name	sample_title
ERP015760	SAMEA4003655	ERS1174765	ERX1492305	ERR1421635	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample12_shoot_2_day_noinfection	E-MTAB-4724:Sample 100	488540098	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421635/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.12_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421635			ArrayExpress	Sample12_shoot_2_day_noinfection
ERP015760	SAMEA4003656	ERS1174766	ERX1492306	ERR1421636	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample13_shoot_4_day_noinfection	E-MTAB-4724:Sample 101	462627837	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421636/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.13_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/006/ERR1421636			ArrayExpress	Sample13_shoot_4_day_noinfection
ERP015760	SAMEA4003657	ERS1174767	ERX1492307	ERR1421637	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample14_shoot_5_day_noinfection	E-MTAB-4724:Sample 102	465852054	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421637/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.14_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/007/ERR1421637			ArrayExpress	Sample14_shoot_5_day_noinfection
ERP015760	SAMEA4003658	ERS1174768	ERX1492308	ERR1421638	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample15_shoot_7_day_noinfection	E-MTAB-4724:Sample 103	182870999	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421638/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.15_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/008/ERR1421638			ArrayExpress	Sample15_shoot_7_day_noinfection
ERP015760	SAMEA4003659	ERS1174769	ERX1492309	ERR1421639	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample16_root_1_day_noinfection	E-MTAB-4724:Sample 104	551078390	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421639/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.16_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/009/ERR1421639			ArrayExpress	Sample16_root_1_day_noinfection
ERP015760	SAMEA4003660	ERS1174770	ERX1492310	ERR1421640	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample17_root_2_day_noinfection	E-MTAB-4724:Sample 105	465039320	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421640/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.17_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/000/ERR1421640			ArrayExpress	Sample17_root_2_day_noinfection
ERP015760	SAMEA4003661	ERS1174771	ERX1492311	ERR1421641	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample18_root_4_day_noinfection	E-MTAB-4724:Sample 106	451870123	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421641/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.18_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/001/ERR1421641			ArrayExpress	Sample18_root_4_day_noinfection
ERP015760	SAMEA4003662	ERS1174772	ERX1492312	ERR1421642	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample19_root_5_day_noinfection	E-MTAB-4724:Sample 107	739822720	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421642/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.19_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/002/ERR1421642			ArrayExpress	Sample19_root_5_day_noinfection
ERP015760	SAMEA4003663	ERS1174773	ERX1492313	ERR1421643	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample20_root_7_day_noinfection	E-MTAB-4724:Sample 108	479088022	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421643/121108_I7001139_FCD1FBHACXX_L8_GSL_0040.20_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1421643			ArrayExpress	Sample20_root_7_day_noinfection
ERP015760	SAMEA4003665	ERS1174775	ERX1492315	ERR1421645	ERA625422	Medicago truncatula	ILLUMINA	PAIRED	RNA-Seq	RANDOM	Illumina Genome Analyzer IIx paired end sequencing; Longitudinal and Diurnal Experiments of M. hapla and M. truncatula	E-MTAB-4724	E-MTAB-4724:Sample11_shoot_1_day_noinfection	E-MTAB-4724:Sample 11	471683864	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1421645/121108_I7001139_FCD1FBHACXX_L4_GSL_0040.11_1.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR142/005/ERR1421645			ArrayExpress	Sample11_shoot_1_day_noinfection
